index	filename	word	translation	context	repetition	position	stop	poa	voice	affric	glott	pharlzd	labialzd	palatlzd	folVowel	prevVowel	totdur	folVowDur	prevVowDur	fric	postfric	closdur	tstart	tend	reltime	pfst	cvst	modst	comment
19	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	carrier	--undefined--	initial	p	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.03632712374210634	0.08859621417565045	--undefined--	0.014211892279963223	0.022115231462143115	0	10.171580639644354	10.20790776338646	10.171580639644354	10.185792531924317	--undefined--	10.20790776338646	
20	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	carrier	--undefined--	medial	d	dental	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a	a	0.09811838034082498	0.171265676540985	0.08859621417565045	0.031478933553247046	0	0.06663944678757794	10.29650397756211	10.394622357902936	10.363143424349689	--undefined--	--undefined--	10.394622357902936	
21	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	1	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.10062057053026408	0.08984066058791917	--undefined--	0.008587192726810855	0	0.09203337780345322	13.71481555633574	13.815436126866004	13.806848934139193	--undefined--	--undefined--	13.815436126866004	
22	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	1	medial	tʃ:	dental	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.1874267965549219	0.06878169635624687	0.08984066058791917	0.1259225474816308	0	0.061504249073291106	13.905276787453923	14.092703584008845	13.966781036527214	--undefined--	--undefined--	14.092703584008845	
23	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	2	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.08160998850808987	0.09467394762361536	--undefined--	0.009786321211651128	0	0.07182366729643874	15.834406604340545	15.916016592848635	15.906230271636984	--undefined--	--undefined--	15.916016592848635	
24	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	2	medial	tʃ:	dental	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.17462603431706825	0.07182977002313251	0.09467394762361536	0.12128779048287086	0	0.053338243834197385	16.01069054047225	16.18531657478932	16.064028784306448	--undefined--	--undefined--	16.18531657478932	
25	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	3	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.024884741479009875	0.09941603498283769	--undefined--	0.006895909941004419	0	0.017988831538005456	17.70347696952497	17.72836171100398	17.721465801062976	--undefined--	--undefined--	17.72836171100398	
26	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	3	medial	tʃ:	dental	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.17132193983067623	0.07373002138034934	0.09941603498283769	0.12125308312935701	0	0.05006885670131922	17.82777774598682	17.999099685817495	17.877846602688138	--undefined--	--undefined--	17.999099685817495	
27	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	carrier	--undefined--	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.06552699027407982	0.10032355740757737	--undefined--	0.0019774278860005268	0.00585390081508308	0.057695661572996215	19.86968493665023	19.93521192692431	19.927380598223227	19.929358026109227	--undefined--	19.93521192692431	
28	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	carrier	--undefined--	medial	tʃ:	dental	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.1656749473679504	0.06600498902554364	0.10032355740757737	0.12586063983888351	0	0.039814307529066895	20.035535484331888	20.201210431699838	20.075349791860955	--undefined--	--undefined--	20.201210431699838	
