index	filename	word	translation	context	repetition	position	stop	poa	voice	geminate	affric	glott	pharlzd	labialzd	palatlzd	folVowel	prevVowel	totdur	folVowDur	prevVowDur	fric	postfric	closdur	tstart	tend	reltime	pfst	cvst	modst	comment
15	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	iso	3	medial	d	dental	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a	a	0.09917034813646985	0.17467794301472672	0.09269953167818645	0.023440543807682346	0	0.07572980432878751	7.984546785923532	8.083717134060002	8.06027659025232	--undefined--	--undefined--	8.083717134060002	
16	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	carrier	--undefined--	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.06001407219549115	0.10089236006298385	--undefined--	0	0	0.06001407219549115	9.683527092767925	9.743541164963416	8.06027659025232	--undefined--	--undefined--	9.743541164963416	
17	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	carrier	--undefined--	medial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a	a	0.02873329147472603	0.09026317829556518	0.10089236006298385	0	0	0.02873329147472603	9.8444335250264	9.873166816501126	8.06027659025232	--undefined--	--undefined--	9.873166816501126	
18	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	carrier	--undefined--	medial	tɬ	dental	voiceless	singleton	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	a	0.115468357608842	0.032754783335830595	0.09026317829556518	0.03784075389802943	0	0.07762760371081256	9.963429994796691	10.078898352405533	10.041057598507503	--undefined--	--undefined--	10.078898352405533	
19	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	carrier	--undefined--	initial	p	bilabial	voiceless	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.03632712374210634	0.08859621417565045	--undefined--	0.03632712374210634	0	0	10.171580639644354	10.20790776338646	10.171580639644354	--undefined--	--undefined--	10.20790776338646	
20	1959_m_Murtuzov_OM	babatɬi padan	мамы носок, бабалIи падан	carrier	--undefined--	medial	d	dental	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a	a	0.09811838034082498	0.171265676540985	0.08859621417565045	0.031478933553247046	0	0.06663944678757794	10.29650397756211	10.394622357902936	10.363143424349689	--undefined--	--undefined--	10.394622357902936	
21	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	1	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.09733868078296837	0.09312255033521488	--undefined--	0.005305302979515147	0	0.09203337780345322	13.71481555633574	13.812154237118708	13.806848934139193	--undefined--	--undefined--	13.812154237118708	
22	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	1	medial	tʃ:	dental	voiceless	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.1874267965549219	0.06878169635624687	0.09312255033521488	0.1259225474816308	0	0.061504249073291106	13.905276787453923	14.092703584008845	13.966781036527214	--undefined--	--undefined--	14.092703584008845	
23	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	2	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.08160998850808987	0.09467394762361536	--undefined--	0.009786321211651128	0	0.07182366729643874	15.834406604340545	15.916016592848635	15.906230271636984	--undefined--	--undefined--	15.916016592848635	
24	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	2	medial	tʃ:	dental	voiceless	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.17462603431706825	0.07182977002313251	0.09467394762361536	0.12128779048287086	0	0.053338243834197385	16.01069054047225	16.18531657478932	16.064028784306448	--undefined--	--undefined--	16.18531657478932	
