index	filename	word	translation	context	repetition	position	stop	folVowel	prevVowel	totdur	folVowDur	prevVowDur	fric	postfric	closdur	tstart	tend	reltime	pfst	modst
1	kna_stop_ajdimiz	ats'ɨra	наполняется, ац1ыра	iso	1	medial	ts'	ɨ	a	0.18565485544483362	0.12402454452795642	0.11884052235807552	0.08638865626986547	0.020365386649169537	0.07890081252579861	4.682133490381117	4.867788345825951	4.761034302906916	4.8474229591767815	4.881136330556611
2	kna_stop_ajdimiz	ats'ɨra	наполняется, ац1ыра	iso	2	medial	ts'	ɨ	a	0.19051490736320087	0.1103672566793712	0.08515369933363903	0.08346557334008686	0.02792824153272022	0.07912109249039379	6.219297353134777	6.4098122604979775	6.29841844562517	6.381884018965257	6.4277461460931224
3	kna_stop_ajdimiz	ats'ɨra	наполняется, ац1ыра	iso	3	medial	ts'	ɨ	a	0.17215569508063755	0.08684984617296809	0.08805418073777904	0.06021589334659083	0.020457963765188047	0.09148183796885867	7.294537026997201	7.4666927220778385	7.38601886496606	7.4462347583126505	7.501046661230701
4	kna_stop_ajdimiz	ats'ɨra	наполняется, ац1ыра	carrier	--undefined--	medial	ts'	ɨ	a	0.18219198847808116	0.09456886205460435	0.1159403563042325	0.0869700132334934	0.023508643674592378	0.07171333156999538	18.46367031080888	18.64586229928696	18.535383642378875	18.62235365561237	18.66028805790546
5	kna_stop_ajdimiz	baba	дядя (1), баба	iso	1	initial	b	a		0.008187562500395984	0.09525530030946072	--undefined--	0.008187562500395984	0	0	32.04767617974293	32.055863742243325	32.04767617974293	18.62235365561237	32.055863742243325
6	kna_stop_ajdimiz	baba	дядя (1), баба	iso	1	medial	b	a	a	0.14641599735325883	0.14830482359547403	0.09525530030946072	0.007388775914989765	0	0.13902722143826907	32.151119042552786	32.297535039906045	32.290146263991055	18.62235365561237	32.297535039906045
7	kna_stop_ajdimiz	baba	дядя (1), баба	iso	2	initial	b	a		0.009127092325130093	0.0943039623052897	--undefined--	0.009127092325130093	0	0	32.98039107856326	32.98951817088839	32.98039107856326	18.62235365561237	32.98951817088839
8	kna_stop_ajdimiz	baba	дядя (1), баба	iso	2	medial	b	a	a	0.14497976525087353	0.14917339482424552	0.0943039623052897	0.008387259146743986	0	0.13659250610412954	33.08382213319368	33.22880189844455	33.22041463929781	18.62235365561237	33.22880189844455
9	kna_stop_ajdimiz	baba	дядя (1), баба	iso	3	initial	b	a		0.008300405176626668	0.08651576164868402	--undefined--	0.008300405176626668	0	0	33.83459635387269	33.84289675904932	33.83459635387269	18.62235365561237	33.84289675904932
10	kna_stop_ajdimiz	baba	дядя (1), баба	iso	3	medial	b	a	a	0.14204080031484523	0.12411107481698025	0.08651576164868402	0.00614152073729457	0	0.13589927957755066	33.929412520698	34.07145332101285	34.06531180027555	18.62235365561237	34.07145332101285
11	kna_stop_ajdimiz	baba	дядя (1), баба	carrier	--undefined--	initial	b	a		0.010364721761462192	0.07183824393290905	--undefined--	0.010364721761462192	0	0	37.22711317042488	37.23747789218634	37.22711317042488	18.62235365561237	37.23747789218634
12	kna_stop_ajdimiz	baba	дядя (1), баба	carrier	--undefined--	medial	b	a	a	0.1333117661043559	0.11512705593685268	0.07183824393290905	0.008935104966781182	0	0.12437666113757473	37.30931613611925	37.442627902223606	37.433692797256825	18.62235365561237	37.442627902223606
13	kna_stop_ajdimiz	bɨga	завтра, быга	iso	1	initial	b	ɨ		0.005325873264304448	0.08837346658319234	--undefined--	0.005325873264304448	0	0	41.82917224676532	41.83449812002962	41.82917224676532	18.62235365561237	41.83449812002962
14	kna_stop_ajdimiz	bɨga	завтра, быга	iso	1	medial	g	a	ɨ	0.12460320653656964	0.17954398035187324	0.08837346658319234	0.02326484957945496	0	0.10133835695711468	41.922871586612814	42.047474793149384	42.02420994356993	18.62235365561237	42.047474793149384
15	kna_stop_ajdimiz	bɨga	завтра, быга	iso	2	initial	b	ɨ		0.0073467946040395304	0.07652911045872202	--undefined--	0.0073467946040395304	0	0	42.77357329057824	42.78092008518228	42.77357329057824	18.62235365561237	42.78092008518228
16	kna_stop_ajdimiz	bɨga	завтра, быга	iso	2	medial	g	a	ɨ	0.15775486975633157	0.22458456609545152	0.07652911045872202	0.02960365492932482	0	0.12815121482700675	42.857449195641	43.015204065397334	42.98560041046801	18.62235365561237	43.015204065397334
17	kna_stop_ajdimiz	bɨga	завтра, быга	iso	3	initial	b	ɨ		0.0096082037928511	0.07219136903817969	--undefined--	0.0096082037928511	0	0	43.725631609561006	43.73523981335386	43.725631609561006	18.62235365561237	43.73523981335386
18	kna_stop_ajdimiz	bɨga	завтра, быга	iso	3	medial	g	a	ɨ	0.1298405917952934	0.14918683997278492	0.07219136903817969	0.03297951031600377	0	0.09686108147928962	43.80743118239204	43.93727177418733	43.904292263871326	18.62235365561237	43.93727177418733
19	kna_stop_ajdimiz	bɨga	завтра, быга	carrier	--undefined--	initial	b	ɨ		0.009348522609258225	0.05297496145247749	--undefined--	0.009348522609258225	0	0	46.15117641782926	46.16052494043852	46.15117641782926	18.62235365561237	46.16052494043852
20	kna_stop_ajdimiz	bɨga	завтра, быга	carrier	--undefined--	medial	g	a	ɨ	0.14438273807636648	0.13258615209090152	0.05297496145247749	0.010832636492153824	0.02400655576619215	0.1095435458180205	46.213499901891	46.357882639967364	46.32304344770902	46.33387608420117	46.357882639967364
